ERROR 2012-03-27 15:38:28,601 [main] - Error log message at: 1332855508601
DEBUG 2012-03-27 15:38:28,636 [main] - Error log message at: 1332855508601 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-27 15:38:28,662 [main] - Trace log message at: 1332855508662
DEBUG 2012-03-27 15:38:28,682 [main] - Debug log message at: 1332855508682
TRACE 2012-03-27 15:38:28,687 [main] - Debug log message at: 1332855508682 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-27 15:38:28,693 [main] - Info log message at: 1332855508693
DEBUG 2012-03-27 15:38:28,694 [main] - Info log message at: 1332855508693 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-27 15:38:28,698 [main] - Warn log message at: 1332855508698
DEBUG 2012-03-27 15:38:28,699 [main] - Warn log message at: 1332855508698 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-27 15:38:28,704 [main] - Fatal log message at: 1332855508704
DEBUG 2012-03-27 15:38:28,705 [main] - Fatal log message at: 1332855508704 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-27 15:38:28,714 [main] - logTrace
DEBUG 2012-03-27 15:38:28,714 [main] - logDebug
INFO  2012-03-27 15:38:28,714 [main] - logInfo
WARN  2012-03-27 15:38:28,715 [main] - logWarn
ERROR 2012-03-27 15:38:28,715 [main] - logError
FATAL 2012-03-27 15:38:28,715 [main] - logFatal
ERROR 2012-03-27 18:20:07,972 [main] - Error log message at: 1332865207972
DEBUG 2012-03-27 18:20:08,006 [main] - Error log message at: 1332865207972 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-27 18:20:08,016 [main] - Trace log message at: 1332865208016
DEBUG 2012-03-27 18:20:08,031 [main] - Debug log message at: 1332865208031
TRACE 2012-03-27 18:20:08,035 [main] - Debug log message at: 1332865208031 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-27 18:20:08,039 [main] - Info log message at: 1332865208039
DEBUG 2012-03-27 18:20:08,040 [main] - Info log message at: 1332865208039 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-27 18:20:08,043 [main] - Warn log message at: 1332865208043
DEBUG 2012-03-27 18:20:08,044 [main] - Warn log message at: 1332865208043 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-27 18:20:08,049 [main] - Fatal log message at: 1332865208049
DEBUG 2012-03-27 18:20:08,050 [main] - Fatal log message at: 1332865208049 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-27 18:20:08,061 [main] - logTrace
DEBUG 2012-03-27 18:20:08,062 [main] - logDebug
INFO  2012-03-27 18:20:08,062 [main] - logInfo
WARN  2012-03-27 18:20:08,062 [main] - logWarn
ERROR 2012-03-27 18:20:08,062 [main] - logError
FATAL 2012-03-27 18:20:08,062 [main] - logFatal
ERROR 2012-03-27 18:24:06,241 [main] - Error log message at: 1332865446240
DEBUG 2012-03-27 18:24:06,244 [main] - Error log message at: 1332865446240 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-27 18:24:06,249 [main] - Trace log message at: 1332865446249
DEBUG 2012-03-27 18:24:06,253 [main] - Debug log message at: 1332865446253
