INFO  2012-03-12 11:14:35,273 [uva.arrm_RequestHandler_fe7a000c_bind] - duration_validator 0ms
DEBUG 2012-03-12 11:14:35,364 [uva.arrm_RequestHandler_fe7a000d_getDomains] - start_requestHandler
INFO  2012-03-12 11:14:35,366 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_serializer_1 2ms
INFO  2012-03-12 11:14:35,366 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_validator 0ms
INFO  2012-03-12 11:14:35,366 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_processing 0ms
INFO  2012-03-12 11:14:35,367 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_reply_settype 1ms
INFO  2012-03-12 11:14:35,369 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_serializer_2 2ms
INFO  2012-03-12 11:14:35,370 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:14:35,374 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - start_requestHandler
INFO  2012-03-12 11:14:35,379 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - duration_serializer_1 5ms
INFO  2012-03-12 11:14:35,379 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - duration_validator 0ms
INFO  2012-03-12 11:14:35,379 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - duration_processing 0ms
INFO  2012-03-12 11:14:35,379 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - duration_reply_settype 0ms
